,0,1,2,3,4
0,a minor,4/4,i,1.0,0.0
1,a minor,4/4,iv7,0.5,1.0
2,a minor,4/4,i64,0.5,1.5
3,a minor,4/4,ii/o43,0.5,2.0
4,a minor,4/4,iv6,0.5,2.5
5,a minor,4/4,V,0.5,3.0
6,a minor,4/4,V6#42,0.5,3.5
7,a minor,4/4,i6,0.5,4.0
8,a minor,4/4,viio#63,0.5,4.5
9,a minor,4/4,i,1.0,5.0
10,a minor,4/4,V,0.5,6.0
11,a minor,4/4,V75#3,0.5,6.5
12,a minor,4/4,i,1.0,7.0
13,a minor,4/4,i,1.0,8.0
14,a minor,4/4,bVII,0.5,9.0
15,a minor,4/4,bVII42,0.5,9.5
16,a minor,4/4,v7,0.5,10.0
17,a minor,4/4,bVII64,0.5,10.5
18,a minor,4/4,III,0.5,11.0
19,a minor,4/4,III742,0.5,11.5
20,a minor,4/4,III6,0.5,12.0
21,a minor,4/4,iii5,0.5,12.5
22,a minor,4/4,iv65,1.0,13.0
23,a minor,4/4,ii/o43,0.5,14.0
24,a minor,4/4,iv6,0.5,14.5
25,a minor,4/4,V,1.0,15.0
26,a minor,4/4,V,1.0,16.0
27,a minor,4/4,i,0.5,17.0
28,a minor,4/4,i42,0.5,17.5
29,a minor,4/4,IV6,0.5,18.0
30,a minor,4/4,IV#8653,0.5,18.5
31,a minor,4/4,V6,0.5,19.0
32,a minor,4/4,V#8653,0.5,19.5
33,a minor,4/4,i,0.5,20.0
34,a minor,4/4,III43,0.5,20.5
35,a minor,4/4,iv6,0.5,21.0
36,a minor,4/4,iv7,0.5,21.5
37,a minor,4/4,i54,0.5,22.0
38,a minor,4/4,V,0.5,22.5
39,a minor,4/4,i,1.0,23.0
40,a minor,4/4,bVI,0.5,24.0
41,a minor,4/4,iio64,0.5,24.5
42,a minor,4/4,III6,0.5,25.0
43,a minor,4/4,iv762,0.5,25.5
44,a minor,4/4,i,0.5,26.0
45,a minor,4/4,III43,0.5,26.5
46,a minor,4/4,iv6,0.5,27.0
47,a minor,4/4,ii/o43,0.5,27.5
48,a minor,4/4,III6,0.5,28.0
49,a minor,4/4,iio6,0.5,28.5
50,a minor,4/4,I6,0.5,29.0
51,a minor,4/4,I#8653,0.5,29.5
52,a minor,4/4,iv,0.25,30.0
53,a minor,4/4,I#752,0.25,30.25
54,a minor,4/4,iv,0.5,30.5
55,a minor,4/4,I,1.0,31.0
56,a minor,4/4,bVII6,1.0,32.0
57,a minor,4/4,III,0.5,33.0
58,a minor,4/4,III7,0.5,33.5
59,a minor,4/4,iv,0.5,34.0
60,a minor,4/4,iv742,0.5,34.5
61,a minor,4/4,bVI,0.5,35.0
62,a minor,4/4,ii/o43,0.5,35.5
63,a minor,4/4,III6,0.5,36.0
64,a minor,4/4,vi/o#8753,0.5,36.5
65,a minor,4/4,V6,0.5,37.0
66,a minor,4/4,i,0.5,37.5
67,a minor,4/4,ii754,0.5,38.0
68,a minor,4/4,V75#3,0.5,38.5
69,a minor,4/4,i,1.0,39.0
70,a minor,4/4,i,1.0,40.0
71,a minor,4/4,II#865#3,1.0,41.0
72,a minor,4/4,v,1.0,42.0
73,a minor,4/4,i,0.5,43.0
74,a minor,4/4,vio#63,0.5,43.5
75,a minor,4/4,bVII,1.0,44.0
76,a minor,4/4,III,0.5,45.0
77,a minor,4/4,bVII6,0.5,45.5
78,a minor,4/4,i,0.5,46.0
79,a minor,4/4,i42,0.5,46.5
80,a minor,4/4,iv6,0.5,47.0
81,a minor,4/4,ii/o43,0.25,47.5
82,a minor,4/4,iv65,0.25,47.75
83,a minor,4/4,bVII,1.0,48.0
84,a minor,4/4,III,2.0,49.0
85,a minor,4/4,bVI6,2.0,51.0
86,a minor,4/4,III64,1.0,53.0
87,a minor,4/4,iv65,1.0,54.0
88,a minor,4/4,iii54,0.5,55.0
89,a minor,4/4,III654,0.5,55.5
90,a minor,4/4,bVII7,0.5,56.0
91,a minor,4/4,bVII743,0.5,56.5
92,a minor,4/4,III,3.0,57.0
93,a minor,4/4,III,0.5,60.0
94,a minor,4/4,i6,0.5,60.5
95,a minor,4/4,V6,1.0,61.0
96,a minor,4/4,i,0.5,62.0
97,a minor,4/4,i42,0.5,62.5
98,a minor,4/4,iv6,0.5,63.0
99,a minor,4/4,i4,0.5,63.5
100,a minor,4/4,iv,1.0,64.0
101,a minor,4/4,I,2.0,65.0
102,a minor,4/4,bVII6,1.0,67.0
103,a minor,4/4,III,0.5,68.0
104,a minor,4/4,IIIb753,0.5,68.5
105,a minor,4/4,bVI64,0.5,69.0
106,a minor,4/4,iv42,0.5,69.5
107,a minor,4/4,III,0.5,70.0
108,a minor,4/4,iv542,0.5,70.5
109,a minor,4/4,III,0.5,71.0
110,a minor,4/4,IIIb753,0.5,71.5
111,a minor,4/4,IIIb753,0.5,72.0
112,a minor,4/4,i65,0.5,72.5
113,a minor,4/4,bVI64,0.5,73.0
114,a minor,4/4,bVII754,0.5,73.5
115,a minor,4/4,III,0.5,74.0
116,a minor,4/4,iv732,0.5,74.5
117,a minor,4/4,III6,0.5,75.0
118,a minor,4/4,iv7,0.5,75.5
119,a minor,4/4,III6,0.5,76.0
120,a minor,4/4,III752,0.5,76.5
121,a minor,4/4,iii54,0.5,77.0
122,a minor,4/4,bvii52,0.5,77.5
123,a minor,4/4,bVII,0.5,78.0
124,a minor,4/4,bVII7,0.5,78.5
125,a minor,4/4,III,2.0,79.0
126,a minor,4/4,III,0.5,81.0
127,a minor,4/4,i742,0.5,81.5
128,a minor,4/4,i52,0.5,82.0
129,a minor,4/4,V6,0.5,82.5
130,a minor,4/4,i,0.5,83.0
131,a minor,4/4,III43,0.5,83.5
132,a minor,4/4,iv6,0.5,84.0
133,a minor,4/4,iv74,0.5,84.5
134,a minor,4/4,bVI,0.5,85.0
135,a minor,4/4,bVI42,0.5,85.5
136,a minor,4/4,ii/o65,0.5,86.0
137,a minor,4/4,V,0.25,86.5
138,a minor,4/4,V75#3,0.25,86.75
139,a minor,4/4,bVI,2.0,87.0
140,a minor,4/4,III,0.5,89.0
141,a minor,4/4,bVII752,0.5,89.5
142,a minor,4/4,bVI,0.5,90.0
143,a minor,4/4,ii/o43,0.5,90.5
144,a minor,4/4,III6,0.5,91.0
145,a minor,4/4,iv762,0.5,91.5
146,a minor,4/4,v542,0.5,92.0
147,a minor,4/4,I#8653,0.5,92.5
148,a minor,4/4,iv,3.0,93.0
149,a minor,4/4,v,1.0,96.0
150,a minor,4/4,bVI42,0.5,97.0
151,a minor,4/4,iv742,0.25,97.5
152,a minor,4/4,bVI42,0.25,97.75
153,a minor,4/4,iio6,0.5,98.0
154,a minor,4/4,iio632,0.25,98.5
155,a minor,4/4,iio6,0.25,98.75
156,a minor,4/4,III6,0.5,99.0
157,a minor,4/4,bVI7,0.5,99.5
