,0,1,2,3,4
0,D major,4/4,I,0.5,0.0
1,D major,4/4,V43,0.5,0.5
2,D major,4/4,I6,1.0,1.0
3,D major,4/4,IV,1.0,2.0
4,D major,4/4,I6,0.5,3.0
5,D major,4/4,V64,0.25,3.5
6,D major,4/4,v54,0.25,3.75
7,D major,4/4,V7,0.5,4.0
8,D major,4/4,iii6,0.5,4.5
9,D major,4/4,I,2.0,5.0
10,D major,4/4,I,1.0,8.0
11,D major,4/4,II6#42,1.0,9.0
12,D major,4/4,#vo6,1.0,10.0
13,D major,4/4,vi,0.5,11.0
14,D major,4/4,vi742,0.5,11.5
15,D major,4/4,#ivob64,0.5,12.0
16,D major,4/4,vii65#3,0.5,12.5
17,D major,4/4,vi54,1.0,13.0
18,D major,4/4,III,0.5,14.0
19,D major,4/4,III75#3,0.5,14.5
20,D major,4/4,vi,1.0,15.0
21,D major,4/4,I,0.5,16.0
22,D major,4/4,V43,0.5,16.5
23,D major,4/4,I6,1.0,17.0
24,D major,4/4,IV,1.0,18.0
25,D major,4/4,I6,0.5,19.0
26,D major,4/4,V64,0.25,19.5
27,D major,4/4,v54,0.25,19.75
28,D major,4/4,V7,0.5,20.0
29,D major,4/4,iii6,0.5,20.5
30,D major,4/4,I,2.0,21.0
31,D major,4/4,I,1.0,24.0
32,D major,4/4,II6#42,1.0,25.0
33,D major,4/4,#vo6,1.0,26.0
34,D major,4/4,vi,0.5,27.0
35,D major,4/4,vi742,0.5,27.5
36,D major,4/4,#ivob64,0.5,28.0
37,D major,4/4,vii65#3,0.5,28.5
38,D major,4/4,vi54,1.0,29.0
39,D major,4/4,III,0.5,30.0
40,D major,4/4,III75#3,0.5,30.5
41,D major,4/4,vi,1.0,31.0
42,D major,4/4,II6,0.5,32.0
43,D major,4/4,II#8653,0.5,32.5
44,D major,4/4,V,0.5,33.0
45,D major,4/4,V#8642,0.5,33.5
46,D major,4/4,I6,0.5,34.0
47,D major,4/4,iii42,0.5,34.5
48,D major,4/4,vi65,0.5,35.0
49,D major,4/4,vi7,0.5,35.5
50,D major,4/4,II,0.5,36.0
51,D major,4/4,v4#3,0.5,36.5
52,D major,4/4,V,3.0,37.0
53,D major,4/4,V,1.0,40.0
54,D major,4/4,II6,0.5,41.0
55,D major,4/4,#ivb7b3,0.5,41.5
56,D major,4/4,vii6,1.0,42.0
57,D major,4/4,I6,0.5,43.0
58,D major,4/4,I65,0.5,43.5
59,D major,4/4,II#8653,0.5,44.0
60,D major,4/4,II#8653,0.5,44.5
61,D major,4/4,V,3.0,45.0
62,D major,4/4,V42,1.0,48.0
63,D major,4/4,I6,1.0,49.0
64,D major,4/4,ii,0.5,50.0
65,D major,4/4,IV43,0.5,50.5
66,D major,4/4,V6,0.5,51.0
67,D major,4/4,V763,0.5,51.5
68,D major,4/4,V7,0.5,52.0
69,D major,4/4,iii65,0.5,52.5
70,D major,4/4,vi,2.0,53.0
71,D major,4/4,I6,1.0,56.0
72,D major,4/4,IV,0.5,57.0
73,D major,4/4,V542,0.5,57.5
74,D major,4/4,II#8653,1.0,58.0
75,D major,4/4,i54,0.5,59.0
76,D major,4/4,I64,0.5,59.5
77,D major,4/4,V7,1.0,60.0
78,D major,4/4,I,3.0,61.0
