,0,1,2,3,4
0,D major,4/4,I,1.0,0.0
1,D major,4/4,ii542,0.5,1.0
2,D major,4/4,I,0.5,1.5
3,D major,4/4,IV532,0.5,2.0
4,D major,4/4,ii6,0.5,2.5
5,D major,4/4,V7,0.5,3.0
6,D major,4/4,iii6,0.25,3.5
7,D major,4/4,iii763,0.25,3.75
8,D major,4/4,vi,0.5,4.0
9,D major,4/4,vi,0.5,4.5
10,D major,4/4,I742,0.5,5.0
11,D major,4/4,II7#3,0.5,5.5
12,D major,4/4,V,2.0,6.0
13,D major,4/4,ii6,0.5,8.0
14,D major,4/4,vii/o43,0.5,8.5
15,D major,4/4,I6,1.0,9.0
16,D major,4/4,V6,0.5,10.0
17,D major,4/4,V65,0.5,10.5
18,D major,4/4,I,0.5,11.0
19,D major,4/4,Ib8642,0.5,11.5
20,D major,4/4,IV6,0.5,12.0
21,D major,4/4,iv6,0.5,12.5
22,D major,4/4,I64,0.5,13.0
23,D major,4/4,#iv/o7,0.5,13.5
24,D major,4/4,vi542,0.5,14.0
25,D major,4/4,V,0.25,14.5
26,D major,4/4,V7,0.25,14.75
27,D major,4/4,I,1.0,15.0
28,D major,4/4,I,1.0,16.0
29,D major,4/4,ii542,0.5,17.0
30,D major,4/4,I,0.5,17.5
31,D major,4/4,IV532,0.5,18.0
32,D major,4/4,ii6,0.5,18.5
33,D major,4/4,V7,0.5,19.0
34,D major,4/4,iii6,0.25,19.5
35,D major,4/4,iii763,0.25,19.75
36,D major,4/4,vi,0.5,20.0
37,D major,4/4,vi,0.5,20.5
38,D major,4/4,I742,0.5,21.0
39,D major,4/4,II7#3,0.5,21.5
40,D major,4/4,V,2.0,22.0
41,D major,4/4,ii6,0.5,24.0
42,D major,4/4,vii/o43,0.5,24.5
43,D major,4/4,I6,1.0,25.0
44,D major,4/4,V6,0.5,26.0
45,D major,4/4,V65,0.5,26.5
46,D major,4/4,I,0.5,27.0
47,D major,4/4,Ib8642,0.5,27.5
48,D major,4/4,IV6,0.5,28.0
49,D major,4/4,iv6,0.5,28.5
50,D major,4/4,I64,0.5,29.0
51,D major,4/4,#iv/o7,0.5,29.5
52,D major,4/4,vi542,0.5,30.0
53,D major,4/4,V,0.25,30.5
54,D major,4/4,V7,0.25,30.75
55,D major,4/4,I,1.0,31.0
56,D major,4/4,VI6,0.5,32.0
57,D major,4/4,VI6,0.5,32.5
58,D major,4/4,II5#32,0.5,33.0
59,D major,4/4,II,0.5,33.5
60,D major,4/4,III6#42,0.5,34.0
61,D major,4/4,I+7#53,0.5,34.5
62,D major,4/4,IV7,0.5,35.0
63,D major,4/4,vii/o43,0.5,35.5
64,D major,4/4,vi64,0.5,36.0
65,D major,4/4,vi752,0.5,36.5
66,D major,4/4,III,0.5,37.0
67,D major,4/4,iii7,0.5,37.5
68,D major,4/4,vi,2.0,38.0
69,D major,4/4,viio6,1.0,40.0
70,D major,4/4,I,1.0,41.0
71,D major,4/4,i52,0.5,42.0
72,D major,4/4,V6,0.5,42.5
73,D major,4/4,I,1.0,43.0
74,D major,4/4,ii65,1.0,44.0
75,D major,4/4,V,0.5,45.0
76,D major,4/4,V7,0.5,45.5
77,D major,4/4,I,2.0,46.0
