,0,1,2,3,4
0,b minor,4/4,i,1.0,0.0
1,b minor,4/4,V6,1.0,1.0
2,b minor,4/4,i,1.0,2.0
3,b minor,4/4,V,0.5,3.0
4,b minor,4/4,V75#3,0.5,3.5
5,b minor,4/4,bVI,0.5,4.0
6,b minor,4/4,i64,0.5,4.5
7,b minor,4/4,ii/o65,0.5,5.0
8,b minor,4/4,iv7,0.25,5.5
9,b minor,4/4,iv,0.25,5.75
10,b minor,4/4,i,1.0,6.0
11,b minor,4/4,V,1.0,7.0
12,b minor,4/4,i,1.0,8.0
13,b minor,4/4,V,0.5,9.0
14,b minor,4/4,V6#42,0.5,9.5
15,b minor,4/4,i6,0.5,10.0
16,b minor,4/4,vio6#4,0.5,10.5
17,b minor,4/4,viio#63,1.0,11.0
18,b minor,4/4,i,0.5,12.0
19,b minor,4/4,III64,0.5,12.5
20,b minor,4/4,iio64,0.5,13.0
21,b minor,4/4,iv6,0.5,13.5
22,b minor,4/4,V,2.0,14.0
23,b minor,4/4,i,1.0,16.0
24,b minor,4/4,V6,1.0,17.0
25,b minor,4/4,i,1.0,18.0
26,b minor,4/4,V,0.5,19.0
27,b minor,4/4,V75#3,0.5,19.5
28,b minor,4/4,bVI,0.5,20.0
29,b minor,4/4,i64,0.5,20.5
30,b minor,4/4,ii/o65,0.5,21.0
31,b minor,4/4,iv7,0.25,21.5
32,b minor,4/4,iv,0.25,21.75
33,b minor,4/4,i,1.0,22.0
34,b minor,4/4,V,1.0,23.0
35,b minor,4/4,i,1.0,24.0
36,b minor,4/4,V,0.5,25.0
37,b minor,4/4,V6#42,0.5,25.5
38,b minor,4/4,i6,0.5,26.0
39,b minor,4/4,vio6#4,0.5,26.5
40,b minor,4/4,viio#63,1.0,27.0
41,b minor,4/4,i,0.5,28.0
42,b minor,4/4,III64,0.5,28.5
43,b minor,4/4,iio64,0.5,29.0
44,b minor,4/4,iv6,0.5,29.5
45,b minor,4/4,V,2.0,30.0
46,b minor,4/4,V,1.0,32.0
47,b minor,4/4,i,0.5,33.0
48,b minor,4/4,i42,0.5,33.5
49,b minor,4/4,IV6,0.5,34.0
50,b minor,4/4,IV#8653,0.5,34.5
51,b minor,4/4,bVII,0.5,35.0
52,b minor,4/4,bVII#8642,0.5,35.5
53,b minor,4/4,III6,0.5,36.0
54,b minor,4/4,iii74,0.5,36.5
55,b minor,4/4,III7,0.5,37.0
56,b minor,4/4,i65,0.5,37.5
57,b minor,4/4,IV,0.5,38.0
58,b minor,4/4,ii65#3,0.25,38.5
59,b minor,4/4,IV75#3,0.25,38.75
60,b minor,4/4,bVII,1.0,39.0
61,b minor,4/4,bVII,0.5,40.0
62,b minor,4/4,ii#8643,0.5,40.5
63,b minor,4/4,v,0.5,41.0
64,b minor,4/4,ii6#32,0.5,41.5
65,b minor,4/4,i6,0.5,42.0
66,b minor,4/4,i74,0.5,42.5
67,b minor,4/4,i7,1.0,43.0
68,b minor,4/4,II,0.5,44.0
69,b minor,4/4,#ivob864,0.5,44.5
70,b minor,4/4,v6,0.5,45.0
71,b minor,4/4,v752,0.5,45.5
72,b minor,4/4,II,0.5,46.0
73,b minor,4/4,II7#5#3,0.5,46.5
74,b minor,4/4,V,1.0,47.0
75,b minor,4/4,V,1.0,48.0
76,b minor,4/4,i,0.5,49.0
77,b minor,4/4,i42,0.5,49.5
78,b minor,4/4,bVII42,0.5,50.0
79,b minor,4/4,v7,0.5,50.5
80,b minor,4/4,III742,0.5,51.0
81,b minor,4/4,III,0.5,51.5
82,b minor,4/4,iii54,0.5,52.0
83,b minor,4/4,bvii5,0.5,52.5
84,b minor,4/4,v65,0.5,53.0
85,b minor,4/4,bVII743,0.5,53.5
86,b minor,4/4,III,2.0,54.0
87,b minor,4/4,III,0.5,56.0
88,b minor,4/4,v43,0.5,56.5
89,b minor,4/4,i,0.5,57.0
90,b minor,4/4,v6,0.5,57.5
91,b minor,4/4,iv6,0.5,58.0
92,b minor,4/4,V7#32,0.5,58.5
93,b minor,4/4,bVI,0.5,59.0
94,b minor,4/4,iv7,0.5,59.5
95,b minor,4/4,i54,0.5,60.0
96,b minor,4/4,v5,0.5,60.5
97,b minor,4/4,#iii6b5,0.5,61.0
98,b minor,4/4,V74#3,0.5,61.5
99,b minor,4/4,I,2.0,62.0
