,0,1,2,3,4
0,a minor,4/4,I6,1.0,0.0
1,a minor,4/4,iv,0.5,1.0
2,a minor,4/4,iv742,0.5,1.5
3,a minor,4/4,iv6,1.0,2.0
4,a minor,4/4,bVII65,1.0,3.0
5,a minor,4/4,I6,1.0,4.0
6,a minor,4/4,iv532,0.5,5.0
7,a minor,4/4,iv,0.5,5.5
8,a minor,4/4,iv54,0.5,6.0
9,a minor,4/4,I75#3,0.5,6.5
10,a minor,4/4,iv,1.0,7.0
11,a minor,4/4,iv,0.5,8.0
12,a minor,4/4,iio6,0.5,8.5
13,a minor,4/4,i,0.5,9.0
14,a minor,4/4,III43,0.5,9.5
15,a minor,4/4,iv6,0.5,10.0
16,a minor,4/4,iv74,0.5,10.5
17,a minor,4/4,iv,0.5,11.0
18,a minor,4/4,iv42,0.5,11.5
19,a minor,4/4,iio,0.5,12.0
20,a minor,4/4,ii/o42,0.5,12.5
21,a minor,4/4,III+6,0.5,13.0
22,a minor,4/4,i64,0.5,13.5
23,a minor,4/4,ii754,0.5,14.0
24,a minor,4/4,V75#3,0.5,14.5
25,a minor,4/4,I#3,1.0,15.0
26,a minor,4/4,I6,1.0,16.0
27,a minor,4/4,iv,0.5,17.0
28,a minor,4/4,iv742,0.5,17.5
29,a minor,4/4,iv6,1.0,18.0
30,a minor,4/4,bVII65,1.0,19.0
31,a minor,4/4,I6,1.0,20.0
32,a minor,4/4,iv532,0.5,21.0
33,a minor,4/4,iv,0.5,21.5
34,a minor,4/4,iv54,0.5,22.0
35,a minor,4/4,I75#3,0.5,22.5
36,a minor,4/4,iv,1.0,23.0
37,a minor,4/4,iv,0.5,24.0
38,a minor,4/4,iio6,0.5,24.5
39,a minor,4/4,i,0.5,25.0
40,a minor,4/4,III43,0.5,25.5
41,a minor,4/4,iv6,0.5,26.0
42,a minor,4/4,iv74,0.5,26.5
43,a minor,4/4,iv,0.5,27.0
44,a minor,4/4,iv42,0.5,27.5
45,a minor,4/4,iio,0.5,28.0
46,a minor,4/4,ii/o42,0.5,28.5
47,a minor,4/4,III+6,0.5,29.0
48,a minor,4/4,i64,0.5,29.5
49,a minor,4/4,ii754,0.5,30.0
50,a minor,4/4,V75#3,0.5,30.5
51,a minor,4/4,I#3,1.0,31.0
52,a minor,4/4,i,1.0,32.0
53,a minor,4/4,III6,0.5,33.0
54,a minor,4/4,iv7,0.5,33.5
55,a minor,4/4,III,0.5,34.0
56,a minor,4/4,bviib752,0.5,34.5
57,a minor,4/4,bVI,0.5,35.0
58,a minor,4/4,i43,0.5,35.5
59,a minor,4/4,iv,0.5,36.0
60,a minor,4/4,v/ob642,0.5,36.5
61,a minor,4/4,bVI6,0.5,37.0
62,a minor,4/4,bVIb8752,0.5,37.5
63,a minor,4/4,III,0.5,38.0
64,a minor,4/4,IIIb753,0.5,38.5
65,a minor,4/4,bVI,1.0,39.0
66,a minor,4/4,bVI,0.5,40.0
67,a minor,4/4,iv6,0.5,40.5
68,a minor,4/4,I6,0.5,41.0
69,a minor,4/4,I#8653,0.5,41.5
70,a minor,4/4,iv,0.5,42.0
71,a minor,4/4,iv42,0.5,42.5
72,a minor,4/4,bvii6,0.5,43.0
73,a minor,4/4,bvii74,0.5,43.5
74,a minor,4/4,bvii75b3,0.5,44.0
75,a minor,4/4,v/o65b3,0.5,44.5
76,a minor,4/4,iv54,1.0,45.0
77,a minor,4/4,I,0.5,46.0
78,a minor,4/4,I75#3,0.5,46.5
79,a minor,4/4,iv,1.0,47.0
80,a minor,4/4,I6,1.0,48.0
81,a minor,4/4,iv,0.5,49.0
82,a minor,4/4,iv7,0.5,49.5
83,a minor,4/4,bvii7b3,0.5,50.0
84,a minor,4/4,vo6,0.5,50.5
85,a minor,4/4,bVI,0.5,51.0
86,a minor,4/4,i64,0.5,51.5
87,a minor,4/4,bVII64,0.5,52.0
88,a minor,4/4,iio6,0.5,52.5
89,a minor,4/4,III,0.5,53.0
90,a minor,4/4,bVII752,0.5,53.5
91,a minor,4/4,i754,0.5,54.0
92,a minor,4/4,IV75#3,0.5,54.5
93,a minor,4/4,bVII,1.0,55.0
94,a minor,4/4,bVII,1.0,56.0
95,a minor,4/4,III,0.5,57.0
96,a minor,4/4,III7,0.5,57.5
97,a minor,4/4,iv,0.5,58.0
98,a minor,4/4,V7#3,0.5,58.5
99,a minor,4/4,iv6,0.5,59.0
100,a minor,4/4,ii/o43,0.5,59.5
101,a minor,4/4,i6,0.5,60.0
102,a minor,4/4,i752,0.5,60.5
103,a minor,4/4,V,0.5,61.0
104,a minor,4/4,V75#3,0.5,61.5
105,a minor,4/4,bVI,0.5,62.0
106,a minor,4/4,i64,0.5,62.5
107,a minor,4/4,ii/o65,1.0,63.0
108,a minor,4/4,V,0.5,64.0
109,a minor,4/4,V75#3,0.5,64.5
110,a minor,4/4,I#3,3.0,65.0
