,0,1,2,3,4
0,g minor,4/4,I6,1.0,0.0
1,g minor,4/4,iv,0.5,1.0
2,g minor,4/4,iv742,0.5,1.5
3,g minor,4/4,iv6,1.0,2.0
4,g minor,4/4,bVII65,1.0,3.0
5,g minor,4/4,I6,1.0,4.0
6,g minor,4/4,iv532,0.5,5.0
7,g minor,4/4,iv,0.5,5.5
8,g minor,4/4,iv54,0.5,6.0
9,g minor,4/4,I75#3,0.5,6.5
10,g minor,4/4,iv,1.0,7.0
11,g minor,4/4,iv,0.5,8.0
12,g minor,4/4,iio6,0.5,8.5
13,g minor,4/4,i,0.5,9.0
14,g minor,4/4,III43,0.5,9.5
15,g minor,4/4,iv6,0.5,10.0
16,g minor,4/4,iv74,0.5,10.5
17,g minor,4/4,iv,0.5,11.0
18,g minor,4/4,iv42,0.5,11.5
19,g minor,4/4,iio,0.5,12.0
20,g minor,4/4,ii/o42,0.5,12.5
21,g minor,4/4,III+6,0.5,13.0
22,g minor,4/4,i64,0.5,13.5
23,g minor,4/4,ii754,0.5,14.0
24,g minor,4/4,V75#3,0.5,14.5
25,g minor,4/4,I#3,1.0,15.0
26,g minor,4/4,I6,1.0,16.0
27,g minor,4/4,iv,0.5,17.0
28,g minor,4/4,iv742,0.5,17.5
29,g minor,4/4,iv6,1.0,18.0
30,g minor,4/4,bVII65,1.0,19.0
31,g minor,4/4,I6,1.0,20.0
32,g minor,4/4,iv532,0.5,21.0
33,g minor,4/4,iv,0.5,21.5
34,g minor,4/4,iv54,0.5,22.0
35,g minor,4/4,I75#3,0.5,22.5
36,g minor,4/4,iv,1.0,23.0
37,g minor,4/4,iv,0.5,24.0
38,g minor,4/4,iio6,0.5,24.5
39,g minor,4/4,i,0.5,25.0
40,g minor,4/4,III43,0.5,25.5
41,g minor,4/4,iv6,0.5,26.0
42,g minor,4/4,iv74,0.5,26.5
43,g minor,4/4,iv,0.5,27.0
44,g minor,4/4,iv42,0.5,27.5
45,g minor,4/4,iio,0.5,28.0
46,g minor,4/4,ii/o42,0.5,28.5
47,g minor,4/4,III+6,0.5,29.0
48,g minor,4/4,i64,0.5,29.5
49,g minor,4/4,ii754,0.5,30.0
50,g minor,4/4,V75#3,0.5,30.5
51,g minor,4/4,I#3,1.0,31.0
52,g minor,4/4,i,1.0,32.0
53,g minor,4/4,III6,0.5,33.0
54,g minor,4/4,iv7,0.5,33.5
55,g minor,4/4,III,0.5,34.0
56,g minor,4/4,bviib752,0.5,34.5
57,g minor,4/4,bVI,0.5,35.0
58,g minor,4/4,i43,0.5,35.5
59,g minor,4/4,iv,0.5,36.0
60,g minor,4/4,v/ob642,0.5,36.5
61,g minor,4/4,bVI6,0.5,37.0
62,g minor,4/4,bVIb8752,0.5,37.5
63,g minor,4/4,III,0.5,38.0
64,g minor,4/4,IIIb753,0.5,38.5
65,g minor,4/4,bVI,1.0,39.0
66,g minor,4/4,bVI,0.5,40.0
67,g minor,4/4,iv6,0.5,40.5
68,g minor,4/4,I6,0.5,41.0
69,g minor,4/4,I#8653,0.5,41.5
70,g minor,4/4,iv,0.5,42.0
71,g minor,4/4,iv42,0.5,42.5
72,g minor,4/4,bvii6,0.5,43.0
73,g minor,4/4,bvii74,0.5,43.5
74,g minor,4/4,bvii75b3,0.5,44.0
75,g minor,4/4,v/o65b3,0.5,44.5
76,g minor,4/4,iv54,1.0,45.0
77,g minor,4/4,I,0.5,46.0
78,g minor,4/4,I75#3,0.5,46.5
79,g minor,4/4,iv,1.0,47.0
80,g minor,4/4,I6,1.0,48.0
81,g minor,4/4,iv,0.5,49.0
82,g minor,4/4,iv7,0.5,49.5
83,g minor,4/4,bvii7b3,0.5,50.0
84,g minor,4/4,vo6,0.5,50.5
85,g minor,4/4,bVI,0.5,51.0
86,g minor,4/4,i64,0.5,51.5
87,g minor,4/4,bVII64,0.5,52.0
88,g minor,4/4,iio6,0.5,52.5
89,g minor,4/4,III,0.5,53.0
90,g minor,4/4,bVII752,0.5,53.5
91,g minor,4/4,i754,0.5,54.0
92,g minor,4/4,IV75#3,0.5,54.5
93,g minor,4/4,bVII,1.0,55.0
94,g minor,4/4,bVII,1.0,56.0
95,g minor,4/4,III,0.5,57.0
96,g minor,4/4,III7,0.5,57.5
97,g minor,4/4,iv,0.5,58.0
98,g minor,4/4,V7#3,0.5,58.5
99,g minor,4/4,iv6,0.5,59.0
100,g minor,4/4,ii/o43,0.5,59.5
101,g minor,4/4,i6,0.5,60.0
102,g minor,4/4,i752,0.5,60.5
103,g minor,4/4,V,0.5,61.0
104,g minor,4/4,V75#3,0.5,61.5
105,g minor,4/4,bVI,0.5,62.0
106,g minor,4/4,i64,0.5,62.5
107,g minor,4/4,ii/o65,1.0,63.0
108,g minor,4/4,V,0.5,64.0
109,g minor,4/4,V75#3,0.5,64.5
110,g minor,4/4,I#3,3.0,65.0
