,0,1,2,3,4
0,D major,4/4,I,1.0,0.0
1,D major,4/4,I,1.0,1.0
2,D major,4/4,I64b3,1.0,2.0
3,D major,4/4,ii64,1.0,3.0
4,D major,4/4,iiio6b33,1.0,4.0
5,D major,4/4,IV,2.0,5.0
6,D major,4/4,bVII,1.0,7.0
7,D major,4/4,bVII#6#42,1.0,8.0
8,D major,4/4,III#8653,1.0,9.0
9,D major,4/4,vi,1.0,10.0
10,D major,4/4,II#8653,0.5,11.0
11,D major,4/4,II#8653,0.25,11.5
12,D major,4/4,II#87653,0.25,11.75
13,D major,4/4,V,0.25,12.0
14,D major,4/4,V7532,0.25,12.25
15,D major,4/4,iii65,0.25,12.5
16,D major,4/4,V7,0.25,12.75
17,D major,4/4,I,0.25,13.0
18,D major,4/4,I532,0.25,13.25
19,D major,4/4,I,0.25,13.5
20,D major,4/4,I543,0.25,13.75
21,D major,4/4,I,0.25,14.0
22,D major,4/4,IV6543,0.25,14.25
23,D major,4/4,I,0.25,14.5
24,D major,4/4,I5432,0.25,14.75
25,D major,4/4,I,1.0,15.0
26,D major,4/4,V,1.0,16.0
27,D major,4/4,II6,0.5,17.0
28,D major,4/4,vii#8643,0.5,17.5
29,D major,4/4,II75#3,1.0,18.0
30,D major,4/4,V,1.0,19.0
31,D major,4/4,III,1.0,20.0
32,D major,4/4,vi,0.5,21.0
33,D major,4/4,vi543,0.5,21.5
34,D major,4/4,vi,1.0,22.0
35,D major,4/4,vi,1.0,23.0
36,D major,4/4,vi,1.0,24.0
37,D major,4/4,viio6,1.0,25.0
38,D major,4/4,I,0.5,26.0
39,D major,4/4,I,0.5,26.5
40,D major,4/4,ii754,0.5,27.0
41,D major,4/4,i54,0.25,27.5
42,D major,4/4,ii7542,0.25,27.75
43,D major,4/4,V,0.25,28.0
44,D major,4/4,V7532,0.25,28.25
45,D major,4/4,iii65,0.25,28.5
46,D major,4/4,V7,0.25,28.75
47,D major,4/4,I,0.25,29.0
48,D major,4/4,I532,0.25,29.25
49,D major,4/4,I,0.25,29.5
50,D major,4/4,I543,0.25,29.75
51,D major,4/4,I,0.25,30.0
52,D major,4/4,IV6543,0.25,30.25
53,D major,4/4,I,0.25,30.5
54,D major,4/4,I5432,0.25,30.75
55,D major,4/4,I,1.0,31.0
56,D major,4/4,I,1.0,32.0
57,D major,4/4,I,1.0,33.0
58,D major,4/4,I64b3,1.0,34.0
59,D major,4/4,ii64,1.0,35.0
60,D major,4/4,iiio6b33,1.0,36.0
61,D major,4/4,IV,2.0,37.0
