,0,1,2,3,4
0,D major,4/4,I,1.0,0.0
1,D major,4/4,I,0.5,1.0
2,D major,4/4,I742,0.5,1.5
3,D major,4/4,I6,0.5,2.0
4,D major,4/4,ii652,0.5,2.5
5,D major,4/4,I6,0.5,3.0
6,D major,4/4,I742,0.5,3.5
7,D major,4/4,I6,0.5,4.0
8,D major,4/4,i5,0.5,4.5
9,D major,4/4,IV,2.0,5.0
10,D major,4/4,IV,1.0,8.0
11,D major,4/4,V,0.5,9.0
12,D major,4/4,V42,0.5,9.5
13,D major,4/4,iii7,0.5,10.0
14,D major,4/4,V64,0.5,10.5
15,D major,4/4,I6,0.5,11.0
16,D major,4/4,i74,0.5,11.5
17,D major,4/4,ii542,0.5,12.0
18,D major,4/4,V65,0.5,12.5
19,D major,4/4,I,1.0,13.0
20,D major,4/4,V,0.5,14.0
21,D major,4/4,V7,0.5,14.5
22,D major,4/4,I,1.0,15.0
23,D major,4/4,I,1.0,16.0
24,D major,4/4,IV,0.5,17.0
25,D major,4/4,IV42,0.5,17.5
26,D major,4/4,ii,0.5,18.0
27,D major,4/4,IV43,0.5,18.5
28,D major,4/4,V6,0.5,19.0
29,D major,4/4,vi7,0.5,19.5
30,D major,4/4,V65,0.5,20.0
31,D major,4/4,v7,0.5,20.5
32,D major,4/4,I,2.0,21.0
33,D major,4/4,V,1.0,24.0
34,D major,4/4,I,0.5,25.0
35,D major,4/4,I42,0.5,25.5
36,D major,4/4,II6#42,0.5,26.0
37,D major,4/4,II64,0.5,26.5
38,D major,4/4,V6,1.0,27.0
39,D major,4/4,vi65,0.5,28.0
40,D major,4/4,I7,0.25,28.5
41,D major,4/4,I,0.25,28.75
42,D major,4/4,V64,0.5,29.0
43,D major,4/4,V752,0.5,29.5
44,D major,4/4,II,0.5,30.0
45,D major,4/4,II75#3,0.5,30.5
46,D major,4/4,V,1.0,31.0
47,D major,4/4,V,1.0,32.0
48,D major,4/4,I,0.5,33.0
49,D major,4/4,V632,0.5,33.5
50,D major,4/4,I,0.5,34.0
51,D major,4/4,ii743,0.5,34.5
52,D major,4/4,I6,0.5,35.0
53,D major,4/4,ii7,0.5,35.5
54,D major,4/4,I6b5,0.5,36.0
55,D major,4/4,vi6,0.5,36.5
56,D major,4/4,IV,2.0,37.0
57,D major,4/4,IV,0.5,40.0
58,D major,4/4,IV42,0.5,40.5
59,D major,4/4,ii,0.5,41.0
60,D major,4/4,VI#8632,0.5,41.5
61,D major,4/4,ii,0.5,42.0
62,D major,4/4,iii743,0.5,42.5
63,D major,4/4,II6,0.5,43.0
64,D major,4/4,iii743,0.5,43.5
65,D major,4/4,II#8653,0.5,44.0
66,D major,4/4,vii6,0.5,44.5
67,D major,4/4,V,2.0,45.0
68,D major,4/4,I6,1.0,48.0
69,D major,4/4,IV,0.5,49.0
70,D major,4/4,IV6,0.5,49.5
71,D major,4/4,I,0.5,50.0
72,D major,4/4,I532,0.5,50.5
73,D major,4/4,vi6,0.5,51.0
74,D major,4/4,vi742,0.5,51.5
75,D major,4/4,vi52,0.5,52.0
76,D major,4/4,III6,0.5,52.5
77,D major,4/4,vi,2.0,53.0
78,D major,4/4,I6,0.5,56.0
79,D major,4/4,iii7,0.5,56.5
80,D major,4/4,IV,0.5,57.0
81,D major,4/4,vi42,0.5,57.5
82,D major,4/4,IV6,0.5,58.0
83,D major,4/4,iv7,0.5,58.5
84,D major,4/4,V,1.0,59.0
85,D major,4/4,V,0.5,60.0
86,D major,4/4,V7,0.5,60.5
87,D major,4/4,I,3.0,61.0
