,0,1,2,3,4
0,F major,3/4,I,0.5,0.0
1,F major,3/4,I742,0.5,0.5
2,F major,3/4,I6,1.0,1.0
3,F major,3/4,I,1.0,2.0
4,F major,3/4,i54,1.0,3.0
5,F major,3/4,V,0.5,4.0
6,F major,3/4,V7,0.5,4.5
7,F major,3/4,vi,1.0,5.0
8,F major,3/4,ii,0.5,6.0
9,F major,3/4,IV64,0.5,6.5
10,F major,3/4,vb8653,1.0,7.0
11,F major,3/4,I,0.5,8.0
12,F major,3/4,IV64,0.25,8.5
13,F major,3/4,ib75,0.25,8.75
14,F major,3/4,IV532,0.5,9.0
15,F major,3/4,vi42,0.5,9.5
16,F major,3/4,IV6,0.5,10.0
17,F major,3/4,vi,0.5,10.5
18,F major,3/4,IV,1.0,11.0
19,F major,3/4,I,3.0,12.0
20,F major,3/4,vi,1.0,15.0
21,F major,3/4,ii,1.0,16.0
22,F major,3/4,ii42,1.0,17.0
23,F major,3/4,V6,0.5,18.0
24,F major,3/4,V65,0.5,18.5
25,F major,3/4,I,0.5,19.0
26,F major,3/4,I42,0.5,19.5
27,F major,3/4,vi,0.5,20.0
28,F major,3/4,I64,0.5,20.5
29,F major,3/4,IV6,0.5,21.0
30,F major,3/4,V65,0.5,21.5
31,F major,3/4,I532,1.0,22.0
32,F major,3/4,I,1.0,23.0
33,F major,3/4,V,3.0,24.0
34,F major,3/4,I,0.5,27.0
35,F major,3/4,I742,0.5,27.5
36,F major,3/4,I6,1.0,28.0
37,F major,3/4,I,1.0,29.0
38,F major,3/4,i54,1.0,30.0
39,F major,3/4,V,0.5,31.0
40,F major,3/4,V7,0.5,31.5
41,F major,3/4,vi,1.0,32.0
42,F major,3/4,ii,0.5,33.0
43,F major,3/4,IV64,0.5,33.5
44,F major,3/4,vb8653,1.0,34.0
45,F major,3/4,I,0.5,35.0
46,F major,3/4,IV64,0.25,35.5
47,F major,3/4,ib75,0.25,35.75
48,F major,3/4,IV532,0.5,36.0
49,F major,3/4,vi42,0.5,36.5
50,F major,3/4,IV6,0.5,37.0
51,F major,3/4,vi,0.5,37.5
52,F major,3/4,IV,1.0,38.0
53,F major,3/4,I,3.0,39.0
54,F major,3/4,vi,1.0,42.0
55,F major,3/4,ii,1.0,43.0
56,F major,3/4,ii42,1.0,44.0
57,F major,3/4,V6,0.5,45.0
58,F major,3/4,V65,0.5,45.5
59,F major,3/4,I,0.5,46.0
60,F major,3/4,I42,0.5,46.5
61,F major,3/4,vi,0.5,47.0
62,F major,3/4,I64,0.5,47.5
63,F major,3/4,IV6,0.5,48.0
64,F major,3/4,V65,0.5,48.5
65,F major,3/4,I532,1.0,49.0
66,F major,3/4,I,1.0,50.0
67,F major,3/4,V,3.0,51.0
68,F major,3/4,V,0.5,54.0
69,F major,3/4,vi732,0.5,54.5
70,F major,3/4,V6,1.0,55.0
71,F major,3/4,V,1.0,56.0
72,F major,3/4,I532,0.5,57.0
73,F major,3/4,iii43,0.5,57.5
74,F major,3/4,I,1.0,58.0
75,F major,3/4,IV,1.0,59.0
76,F major,3/4,#vob86b5b3,1.0,60.0
77,F major,3/4,vi6,1.0,61.0
78,F major,3/4,IV6,0.5,62.0
79,F major,3/4,iii752,0.25,62.5
80,F major,3/4,vi7,0.25,62.75
81,F major,3/4,vii/o42,0.5,63.0
82,F major,3/4,IV632,0.5,63.5
83,F major,3/4,III#8653,0.5,64.0
84,F major,3/4,vii64,0.5,64.5
85,F major,3/4,III#8653,0.5,65.0
86,F major,3/4,III6,0.5,65.5
87,F major,3/4,vi,3.0,66.0
88,F major,3/4,IV,0.5,69.0
89,F major,3/4,IV42,0.5,69.5
90,F major,3/4,viio6,0.5,70.0
91,F major,3/4,vii6,0.5,70.5
92,F major,3/4,I,1.0,71.0
93,F major,3/4,V6,0.5,72.0
94,F major,3/4,vi743,0.5,72.5
95,F major,3/4,V6,1.0,73.0
96,F major,3/4,V7,1.0,74.0
97,F major,3/4,I,1.0,75.0
98,F major,3/4,IV,1.0,76.0
99,F major,3/4,IV,1.0,77.0
100,F major,3/4,i54,0.5,78.0
101,F major,3/4,ii65,0.5,78.5
102,F major,3/4,V,0.5,79.0
103,F major,3/4,v52,0.5,79.5
104,F major,3/4,V7,1.0,80.0
105,F major,3/4,I,3.0,81.0
