,0,1,2,3,4
0,A major,4/4,I,1.0,0.0
1,A major,4/4,V6,1.0,1.0
2,A major,4/4,vi,0.5,2.0
3,A major,4/4,ii43,0.5,2.5
4,A major,4/4,I6,0.5,3.0
5,A major,4/4,V43,0.5,3.5
6,A major,4/4,I65,0.5,4.0
7,A major,4/4,II#8653,0.5,4.5
8,A major,4/4,V532,0.5,5.0
9,A major,4/4,V,0.5,5.5
10,A major,4/4,v54,0.5,6.0
11,A major,4/4,II,0.25,6.5
12,A major,4/4,II75#3,0.25,6.75
13,A major,4/4,V,1.0,7.0
14,A major,4/4,ii,0.5,8.0
15,A major,4/4,ii52,0.5,8.5
16,A major,4/4,viio6,0.5,9.0
17,A major,4/4,iii42,0.25,9.5
18,A major,4/4,V43,0.25,9.75
19,A major,4/4,I,0.5,10.0
20,A major,4/4,i52,0.5,10.5
21,A major,4/4,i54,0.5,11.0
22,A major,4/4,V,0.5,11.5
23,A major,4/4,I,0.5,12.0
24,A major,4/4,IV,0.5,12.5
25,A major,4/4,i54,0.5,13.0
26,A major,4/4,V,0.5,13.5
27,A major,4/4,I,2.0,14.0
28,A major,4/4,I,1.0,16.0
29,A major,4/4,V6,1.0,17.0
30,A major,4/4,vi,0.5,18.0
31,A major,4/4,ii43,0.5,18.5
32,A major,4/4,I6,0.5,19.0
33,A major,4/4,V43,0.5,19.5
34,A major,4/4,I65,0.5,20.0
35,A major,4/4,II#8653,0.5,20.5
36,A major,4/4,V532,0.5,21.0
37,A major,4/4,V,0.5,21.5
38,A major,4/4,v54,0.5,22.0
39,A major,4/4,II,0.25,22.5
40,A major,4/4,II75#3,0.25,22.75
41,A major,4/4,V,1.0,23.0
42,A major,4/4,ii,0.5,24.0
43,A major,4/4,ii52,0.5,24.5
44,A major,4/4,viio6,0.5,25.0
45,A major,4/4,iii42,0.25,25.5
46,A major,4/4,V43,0.25,25.75
47,A major,4/4,I,0.5,26.0
48,A major,4/4,i52,0.5,26.5
49,A major,4/4,i54,0.5,27.0
50,A major,4/4,V,0.5,27.5
51,A major,4/4,I,0.5,28.0
52,A major,4/4,IV,0.5,28.5
53,A major,4/4,i54,0.5,29.0
54,A major,4/4,V,0.5,29.5
55,A major,4/4,I,2.0,30.0
56,A major,4/4,I,0.5,32.0
57,A major,4/4,I42,0.5,32.5
58,A major,4/4,vi7,0.5,33.0
59,A major,4/4,#iv/o6b5b3,0.5,33.5
60,A major,4/4,V6,0.5,34.0
61,A major,4/4,ii64,0.5,34.5
62,A major,4/4,iii6,0.5,35.0
63,A major,4/4,iii65,0.5,35.5
64,A major,4/4,IV6,0.5,36.0
65,A major,4/4,vii/o7,0.5,36.5
66,A major,4/4,I,0.5,37.0
67,A major,4/4,II6#42,0.5,37.5
68,A major,4/4,V,0.5,38.0
69,A major,4/4,vi42,0.5,38.5
70,A major,4/4,V,1.0,39.0
71,A major,4/4,VI6#42,0.5,40.0
72,A major,4/4,ii6,0.5,40.5
73,A major,4/4,iii7,0.5,41.0
74,A major,4/4,V64,0.5,41.5
75,A major,4/4,I6,0.5,42.0
76,A major,4/4,IV6,0.25,42.5
77,A major,4/4,vi,0.25,42.75
78,A major,4/4,vi542,0.5,43.0
79,A major,4/4,ii65,0.5,43.5
80,A major,4/4,I64,0.5,44.0
81,A major,4/4,v7,0.5,44.5
82,A major,4/4,V,0.5,45.0
83,A major,4/4,v7,0.5,45.5
84,A major,4/4,I,0.5,46.0
85,A major,4/4,viio742,0.5,46.5
86,A major,4/4,I,1.0,47.0
