,0,1,2,3,4
0,G major,4/4,I,1.0,0.0
1,G major,4/4,IV,0.5,1.0
2,G major,4/4,IV7,0.5,1.5
3,G major,4/4,V,0.5,2.0
4,G major,4/4,V7,0.5,2.5
5,G major,4/4,vi,0.5,3.0
6,G major,4/4,IV6,0.5,3.5
7,G major,4/4,V6,0.5,4.0
8,G major,4/4,I7,0.5,4.5
9,G major,4/4,ii,0.5,5.0
10,G major,4/4,vi752,0.5,5.5
11,G major,4/4,iv74,0.5,6.0
12,G major,4/4,V7,0.5,6.5
13,G major,4/4,I,1.0,7.0
14,G major,4/4,V6,1.0,8.0
15,G major,4/4,I,0.5,9.0
16,G major,4/4,I42,0.5,9.5
17,G major,4/4,IV6,0.5,10.0
18,G major,4/4,ii43,0.5,10.5
19,G major,4/4,I6,0.5,11.0
20,G major,4/4,I6,0.5,11.5
21,G major,4/4,IV,0.5,12.0
22,G major,4/4,IV7,0.5,12.5
23,G major,4/4,i54,0.5,13.0
24,G major,4/4,I64,0.5,13.5
25,G major,4/4,V7,1.0,14.0
26,G major,4/4,I,1.0,15.0
27,G major,4/4,I,1.0,16.0
28,G major,4/4,IV,0.5,17.0
29,G major,4/4,IV7,0.5,17.5
30,G major,4/4,V,0.5,18.0
31,G major,4/4,V7,0.5,18.5
32,G major,4/4,vi,0.5,19.0
33,G major,4/4,IV6,0.5,19.5
34,G major,4/4,V6,0.5,20.0
35,G major,4/4,I7,0.5,20.5
36,G major,4/4,ii,0.5,21.0
37,G major,4/4,vi752,0.5,21.5
38,G major,4/4,iv74,0.5,22.0
39,G major,4/4,V7,0.5,22.5
40,G major,4/4,I,1.0,23.0
41,G major,4/4,V6,0.5,24.0
42,G major,4/4,v5,0.5,24.5
43,G major,4/4,I,0.5,25.0
44,G major,4/4,I42,0.5,25.5
45,G major,4/4,IV6,0.5,26.0
46,G major,4/4,ii43,0.5,26.5
47,G major,4/4,I6,0.5,27.0
48,G major,4/4,I6,0.5,27.5
49,G major,4/4,IV,0.5,28.0
50,G major,4/4,IV7,0.5,28.5
51,G major,4/4,i54,0.5,29.0
52,G major,4/4,I64,0.5,29.5
53,G major,4/4,V7,1.0,30.0
54,G major,4/4,I,1.0,31.0
55,G major,4/4,I,1.0,32.0
56,G major,4/4,V6,0.5,33.0
57,G major,4/4,vii7,0.5,33.5
58,G major,4/4,iii752,0.5,34.0
59,G major,4/4,iii6,0.5,34.5
60,G major,4/4,IV6,0.5,35.0
61,G major,4/4,vi,0.5,35.5
62,G major,4/4,vii7,0.5,36.0
63,G major,4/4,V6,0.5,36.5
64,G major,4/4,I532,0.5,37.0
65,G major,4/4,I,0.5,37.5
66,G major,4/4,ii754,0.5,38.0
67,G major,4/4,V7,0.5,38.5
68,G major,4/4,I,1.0,39.0
69,G major,4/4,IV,0.5,40.0
70,G major,4/4,ii65,0.5,40.5
71,G major,4/4,I,0.5,41.0
72,G major,4/4,Ib8642,0.5,41.5
73,G major,4/4,IV6,0.5,42.0
74,G major,4/4,IV742,0.5,42.5
75,G major,4/4,v5b42,0.5,43.0
76,G major,4/4,I6b5,0.5,43.5
77,G major,4/4,IV,0.5,44.0
