,0,1,2,3,4
0,G major,4/4,I,0.5,0.0
1,G major,4/4,I42,0.5,0.5
2,G major,4/4,I,0.5,1.0
3,G major,4/4,vi6,0.5,1.5
4,G major,4/4,III6,0.5,2.0
5,G major,4/4,III#8653,0.5,2.5
6,G major,4/4,vi,1.0,3.0
7,G major,4/4,ii6,0.5,4.0
8,G major,4/4,IV,0.5,4.5
9,G major,4/4,V42,0.5,5.0
10,G major,4/4,IV532,0.5,5.5
11,G major,4/4,V42,0.5,6.0
12,G major,4/4,#io6,0.5,6.5
13,G major,4/4,ii,0.5,7.0
14,G major,4/4,ii432,0.5,7.5
15,G major,4/4,ii,0.5,8.0
16,G major,4/4,viio6,0.5,8.5
17,G major,4/4,I,1.0,9.0
18,G major,4/4,I,1.0,10.0
19,G major,4/4,V6,0.5,11.0
20,G major,4/4,ii4,0.5,11.5
21,G major,4/4,V,0.5,12.0
22,G major,4/4,ii752,0.5,12.5
23,G major,4/4,I,0.5,13.0
24,G major,4/4,iii43,0.5,13.5
25,G major,4/4,IV6,0.5,14.0
26,G major,4/4,IV6,0.5,14.5
27,G major,4/4,V,0.5,15.0
28,G major,4/4,V7,0.5,15.5
29,G major,4/4,vi,0.5,16.0
30,G major,4/4,I64,0.5,16.5
31,G major,4/4,ii65,0.5,17.0
32,G major,4/4,viio6,0.25,17.5
33,G major,4/4,ii,0.25,17.75
34,G major,4/4,V,0.5,18.0
35,G major,4/4,V,0.25,18.5
36,G major,4/4,V7,0.25,18.75
37,G major,4/4,I,1.0,19.0
38,G major,4/4,II6#42,1.0,20.0
39,G major,4/4,V6,0.5,21.0
40,G major,4/4,II#643,0.5,21.5
41,G major,4/4,V,0.5,22.0
42,G major,4/4,II6,0.5,22.5
43,G major,4/4,V,1.0,23.0
44,G major,4/4,III6,0.5,24.0
45,G major,4/4,III#8653,0.5,24.5
46,G major,4/4,vi532,0.5,25.0
47,G major,4/4,I42,0.5,25.5
48,G major,4/4,vi6,0.5,26.0
49,G major,4/4,vi,0.5,26.5
50,G major,4/4,II6,0.5,27.0
51,G major,4/4,#vo5b3,0.5,27.5
52,G major,4/4,vi,0.5,28.0
53,G major,4/4,IV,0.5,28.5
54,G major,4/4,vii/o65,0.5,29.0
55,G major,4/4,#vob64b3,0.5,29.5
56,G major,4/4,VII#865#3,0.5,30.0
57,G major,4/4,VII6,0.5,30.5
58,G major,4/4,III,1.0,31.0
59,G major,4/4,III6,0.5,32.0
60,G major,4/4,III#8653,0.5,32.5
61,G major,4/4,vi,0.5,33.0
62,G major,4/4,I43,0.5,33.5
63,G major,4/4,IV,0.5,34.0
64,G major,4/4,I6,0.5,34.5
65,G major,4/4,ii,0.5,35.0
66,G major,4/4,viio742,0.25,35.5
67,G major,4/4,ii42,0.25,35.75
68,G major,4/4,viio,0.5,36.0
69,G major,4/4,V,0.25,36.5
70,G major,4/4,V7,0.25,36.75
71,G major,4/4,I,0.5,37.0
72,G major,4/4,vi6,0.25,37.5
73,G major,4/4,I7,0.25,37.75
74,G major,4/4,IV65,0.5,38.0
75,G major,4/4,viio6,0.25,38.5
76,G major,4/4,ii42,0.25,38.75
77,G major,4/4,V6,0.5,39.0
78,G major,4/4,V7,0.5,39.5
79,G major,4/4,I532,0.5,40.0
80,G major,4/4,vi,0.5,40.5
81,G major,4/4,ii65,0.5,41.0
82,G major,4/4,ii7,0.5,41.5
83,G major,4/4,V,0.5,42.0
84,G major,4/4,V,0.25,42.5
85,G major,4/4,V7,0.25,42.75
86,G major,4/4,I,1.0,43.0
